rgn,idx,region,name,url,meta_yml,data_csv,html
WGOA,WGOA_Meso,Western Gulf of Alaska,Mesoplankton Biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Meso,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Meso.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Meso.csv,./z_WGOA_Meso.html
WGOA,WGOA_Cope,Western Gulf of Alaska,Copepod Community Size,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Cope,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Cope.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Cope.csv,./z_WGOA_Cope.html
WGOA,WGOA_Epi,Western Gulf of Alaska,Motile Epifauna Biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Epi,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Epi.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Epi.csv,./z_WGOA_Epi.html
WGOA,WGOA_Capelin,Western Gulf of Alaska,Capelin(puffins),https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Capelin,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Capelin.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Capelin.csv,./z_WGOA_Capelin.html
WGOA,WGOA_Apex,Western Gulf of Alaska,Apex Fish Biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Apex,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Apex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Apex.csv,./z_WGOA_Apex.html
WGOA,WGOA_Blk,Western Gulf of Alaska,Black-legged Kittiwake Reproductive Success,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Blk,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Blk.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Blk.csv,./z_WGOA_Blk.html
WGOA,WGOA_SSL,Western Gulf of Alaska,Stellar Sea Lion Non-pups,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_SSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_SSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_SSL.csv,./z_WGOA_SSL.html
WGOA,WGOA_Human,Western Gulf of Alaska,Human Population,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=WGOA_Human,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Human.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/WGOA_Human.csv,./z_WGOA_Human.html
EGOA,EGOA_ENSO,Eastern Gulf of Alaska,Multivariate ENSO index (MEI DecJan),https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_ENSO,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_ENSO.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_ENSO.csv,./z_EGOA_ENSO.html
EGOA,EGOA_SST,Eastern Gulf of Alaska,SST Jun-Aug,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_SST,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_SST.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_SST.csv,./z_EGOA_SST.html
EGOA,EGOA_Zoop,Eastern Gulf of Alaska,Zooplankton Density Icy Strait (#/m3),https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Zoop,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Zoop.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Zoop.csv,./z_EGOA_Zoop.html
EGOA,EGOA_Cope,Eastern Gulf of Alaska,Copepod Community Size,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Cope,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Cope.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Cope.csv,./z_EGOA_Cope.html
EGOA,EGOA_Epi,Eastern Gulf of Alaska,Motile Epifauna Biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Epi,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Epi.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Epi.csv,./z_EGOA_Epi.html
EGOA,EGOA_Herring,Eastern Gulf of Alaska,SE Alaska Herring Mature Biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Herring,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Herring.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Herring.csv,./z_EGOA_Herring.html
EGOA,EGOA_Apex,Eastern Gulf of Alaska,Apex Fish Biomass,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Apex,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Apex.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Apex.csv,./z_EGOA_Apex.html
EGOA,EGOA_Auk,Eastern Gulf of Alaska,Rhinoceros Auklet Chick Growth,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Auk,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Auk.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Auk.csv,./z_EGOA_Auk.html
EGOA,EGOA_SSL,Eastern Gulf of Alaska,Stellar Sea Lion Non-pups,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_SSL,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_SSL.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_SSL.csv,./z_EGOA_SSL.html
EGOA,EGOA_Human,Eastern Gulf of Alaska,Human Population,https://apps-afsc.fisheries.noaa.gov/refm/reem/ecoweb/dataWindow.php?Data=EGOA_Human,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Human.yml,/Users/bbest/github/bbest/r3-exercises/data/alaska/EGOA_Human.csv,./z_EGOA_Human.html
