Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.4
1981,-0.3
1982,-0.4
1983,2.6
1984,-0.5
1985,-0.2
1986,-0.4
1987,1
1988,0.6
1989,-1.1
1990,0.1
1991,0.2
1992,1.7
1993,0.8
1994,0
1995,0.8
1996,-0.8
1997,-0.7
1998,2.2
1999,-1.3
2000,-1.3
2001,-0.8
2002,0.1
2003,0.8
2004,0.2
2005,0.1
2006,-0.7
2007,0.6
2008,-1.1
2009,-1
2010,0.9
2011,-1.8
2012,-1.1
2013,0
2014,-0.5
2015,0.2
2016,1.9
2017,-0.4
2018,-0.8
2019,0.1
2020,0.3
